respondent_id,has_seen_any_star_wars_film,has_seen_any_star_wars_film_binary,is_star_wars_fan,is_star_wars_fan_binary,fan_segment,total_movies_seen,movie_consumption_segment,has_complete_movie_ranking,which_character_shot_first,is_familiar_with_expanded_universe,is_familiar_with_expanded_universe_binary,is_expanded_universe_fan,is_expanded_universe_fan_binary,is_star_trek_fan,is_star_trek_fan_binary,gender,age,household_income,education,location_census_region,has_demographic_info,average_character_opinion_score,audience_type,audience_type_order
3291635934.0,no,0,,,unknown,0,no_movies_seen,0,,,,,,no,0.0,male,> 60,"$25,000 - $49,999",some college or associate degree,new england,1,,Territorio neutral,4
3291634205.0,yes,1,no,0.0,not_fan,5,high_consumption,1,han,no,0.0,,,no,0.0,male,30-44,"$0 - $24,999",bachelor degree,pacific,1,0.0769230769230769,Explorador casual,3
3291618031.0,yes,1,no,0.0,not_fan,3,medium_consumption,1,han,no,0.0,,,no,0.0,male,18-29,,bachelor degree,middle atlantic,1,0.6363636363636364,Explorador casual,3
3291603688.0,no,0,,,unknown,0,no_movies_seen,0,,,,,,no,0.0,male,18-29,"$25,000 - $49,999",,west north central,1,,Territorio neutral,4
3291602842.0,yes,1,yes,1.0,fan,6,high_consumption,1,greedo,yes,1.0,no,0.0,no,0.0,male,30-44,"$50,000 - $99,999",high school degree,pacific,1,0.7857142857142857,Jedi fiel,1
3291598188.0,yes,1,yes,1.0,fan,4,medium_consumption,1,i don't understand this question,no,0.0,,,yes,1.0,male,> 60,"$50,000 - $99,999",high school degree,south atlantic,1,1.0,Rebelde nostalgico,2
3291588139.0,yes,1,yes,1.0,fan,6,high_consumption,1,han,no,0.0,,,yes,1.0,male,> 60,"$50,000 - $99,999",bachelor degree,west south central,1,1.3076923076923077,Jedi fiel,1
3291570206.0,yes,1,,,unknown,0,no_movies_seen,0,,,,,,,,,,,,,0,,Territorio neutral,4
3291548852.0,yes,1,yes,1.0,fan,6,high_consumption,1,greedo,no,0.0,,,no,0.0,male,30-44,"$50,000 - $99,999",bachelor degree,east north central,1,1.5,Jedi fiel,1
3291529925.0,yes,1,yes,1.0,fan,6,high_consumption,1,i don't understand this question,no,0.0,,,no,0.0,male,30-44,"$100,000 - $149,999",bachelor degree,middle atlantic,1,1.0,Jedi fiel,1
3291524547.0,yes,1,no,0.0,not_fan,3,medium_consumption,1,greedo,no,0.0,,,no,0.0,male,> 60,"$50,000 - $99,999",bachelor degree,east north central,1,2.0,Explorador casual,3
3291502449.0,yes,1,yes,1.0,fan,4,medium_consumption,1,i don't understand this question,no,0.0,,,yes,1.0,male,> 60,"$100,000 - $149,999",some college or associate degree,south atlantic,1,1.7,Rebelde nostalgico,2
3291497337.0,yes,1,yes,1.0,fan,6,high_consumption,1,greedo,yes,1.0,yes,1.0,yes,1.0,male,> 60,"$150,000+",bachelor degree,south atlantic,1,0.9230769230769232,Jedi fiel,1
